organism,star_index
Homo_sapiens,gs://arc-ctc-references/STAR/star_refData_2020_hg38/
Mus_musculus,gs://arc-ctc-references/STAR/star_refData_2020_mm10/
Macaca_mulatta,gs://arc-ctc-references/STAR/star_refData_2019_mmul10/MMUL-10_scRecount/
Anopheles_gambiae,gs://arc-ctc-references/STAR/Anopheles_gambiae/AgamP4/
Arabidopsis_thaliana,gs://arc-ctc-references/STAR/Arabidopsis_thaliana/TAIR10/
Bos_taurus,gs://arc-ctc-references/STAR/Bos_taurus/ARS-UCD1.3/
Caenorhabditis_elegans,gs://arc-ctc-references/STAR/Caenorhabditis_elegans/WBcel235/
Callithrix_jacchus,gs://arc-ctc-references/STAR/Callithrix_jacchus/mCalJac1.pat.X/
Canis_lupus_familiaris,gs://arc-ctc-references/STAR/Canis_lupus_familiaris/ROS_Cfam_1.0/
Danio_rerio,gs://arc-ctc-references/STAR/Danio_rerio/GRCz11/
Drosophila_melanogaster,gs://arc-ctc-references/STAR/Drosophila_melanogaster/BDGP6.46/
Equus_caballus,gs://arc-ctc-references/STAR/Equus_caballus/EquCab3.0/
Gallus_gallus,gs://arc-ctc-references/STAR/Gallus_gallus/bGalGal1.mat.broiler.GRCg7b/
Gorilla_gorilla,gs://arc-ctc-references/STAR/Gorilla_gorilla/gorGor4/
Heterocephalus_glaber,gs://arc-ctc-references/STAR/Heterocephalus_glaber/Naked_mole-rat_maternal/
Oryctolagus_cuniculus,gs://arc-ctc-references/STAR/Oryctolagus_cuniculus/OryCun2.0/
Oryza_sativa,gs://arc-ctc-references/STAR/Oryza_sativa/IRGSP-1.0/
Ovis_aries,gs://arc-ctc-references/STAR/Ovis_aries/ARS-UI_Ramb_v2.0/
Pan_troglodytes,gs://arc-ctc-references/STAR/Pan_troglodytes/Pan_tro_3.0/
Rattus_norvegicus,gs://arc-ctc-references/STAR/Rattus_norvegicus/mRatBN7.2/
Saccharomyces_cerevisiae,gs://arc-ctc-references/STAR/Saccharomyces_cerevisiae/R64-1-1/
Schistosoma_mansoni,gs://arc-ctc-references/STAR/Schistosoma_mansoni/Smansoni_v7/
Solanum_lycopersicum,gs://arc-ctc-references/STAR/Solanum_lycopersicum/SL3.0/
Sus_scrofa,gs://arc-ctc-references/STAR/Sus_scrofa/Sscrofa11.1/
Xenopus_tropicalis,gs://arc-ctc-references/STAR/Xenopus_tropicalis/UCB_Xtro_10.0/
Zea_mays,gs://arc-ctc-references/STAR/Zea_mays/Zm-B73-REFERENCE-NAM-5.0/
Capra_hircus,gs://arc-ctc-references/STAR/Capra_hircus/ARS1/
Cavia_porcellus,gs://arc-ctc-references/STAR/Cavia_porcellus/Cavpor3.0/
Chlorocebus_aethiops,gs://arc-ctc-references/STAR/Chlorocebus_aethiops/ChlSab1.1/
Gasterosteus_aculeatus,gs://arc-ctc-references/STAR/Gasterosteus_aculeatus/GAculeatus_UGA_version5/
Mesocricetus_auratus,gs://arc-ctc-references/STAR/Mesocricetus_auratus/MesAur1.0/
Monodelphis_domestica,gs://arc-ctc-references/STAR/Monodelphis_domestica/ASM229v1/
Pan_paniscus,gs://arc-ctc-references/STAR/Pan_paniscus/panpan1.1/
Salmo_salar,gs://arc-ctc-references/STAR/Salmo_salar/Ssal_v3.1/
Taeniopygia_guttata,gs://arc-ctc-references/STAR/Taeniopygia_guttata/bTaeGut1_v1.p/
Tupaia_belangeri,gs://arc-ctc-references/STAR/Tupaia_belangeri/tupBel1/
