tissue,category
2 layer spheroid,other
"3 layer spheroid channel 1,epithelial",other
3 layer spheroid channel 2,other
3D healthy skin model,skin of body
A549 cells,lung
ACA (Adult Cortex Area),cortex
ACP close to the hypothalamus,brain
ACP distant from the hypothalamus,brain
AI-CLA,brain
AI-CLA (specific brain region),brain
AI-CLA (specific brain tissue),brain
AId-AIv,brain
AId-AIv (specific brain region),brain
AId-AIv-AIp (specific brain regions),brain
ALI Distal Lung Organoid,lung
AML,bone marrow
AML cells,bone marrow
AML-iPSC-derived xenograft,bone marrow
APAP liver explant,liver
"AT2 YFP+ cells,16 weeks after Ad5SPC-Cre",lung
AT2 cells,lung
AT2 cells (GEMM),lung
AT2 organoids,lung
AUD (Auditory),sensory system
Anterior Cingulate Area (ACA),cortex
As4.1 cells,kidney
Atrioventricular canal (AVC),heart
B cell lymphoma,immune system
B cell precursor leukemia,immune system
B cells,immune system
B cells from peripheral blood mononuclear cells (PBMC),immune system
B-cells Ag2+,immune system
B16 tumor,skin of body
B16-OVA Tumor,skin of body
B16F10 tumor,skin of body
"B6 left lung, 2 hours post-reperfusion",lung
BA11 brain region,cortex
BA46,cortex
BA46 (Brain tissue),cortex
BA9 (Brain Area 9),cortex
BJ fibroblast,skin of body
BJ skin fibroblast,skin of body
BMMC (Bone Marrow Mononuclear Cells),bone marrow
BackSkin,skin of body
Basal Plate placenta,placenta
Bilateral V-SVZ of 4 littermates,brain
Bone Marrow,bone marrow
Bone Marrow 14d post treatment (M35),bone marrow
Bone Marrow 14d post treatment (M6),bone marrow
Bone Marrow 14d post treatment (T17),bone marrow
Bone Marrow 14d post treatment (T19),bone marrow
Bone Marrow 14d post treatment (T62),bone marrow
Bone Marrow 14d post treatment (T63),bone marrow
Bone Marrow 180d post treatment (M76),bone marrow
Bone Marrow 180d post treatment (T25),bone marrow
Bone Marrow 180d post treatment (T56),bone marrow
Bone Marrow 180d post treatment (T65),bone marrow
Bone Marrow 180d post treatment (T71),bone marrow
Bone Marrow 30d post treatment (M39),bone marrow
Bone Marrow 30d post treatment (T27),bone marrow
Bone Marrow 30d post treatment (T66),bone marrow
Bone Marrow 30d post treatment (T67),bone marrow
Bone Marrow 30d post treatment (T72),bone marrow
Bone Marrow 30d post treatment (T87),bone marrow
Bone Marrow 90d post treatment (T30),bone marrow
Bone Marrow 90d post treatment (T37),bone marrow
Bone Marrow Baseline (M1),bone marrow
Bone Marrow Baseline (T13),bone marrow
Bone Marrow Baseline (T73),bone marrow
Bone Marrow from AML Patient-Derived Xenografts,bone marrow
CAR T,immune system
CAR-T cells,immune system
CBMC (Cord Blood Mononuclear Cells),blood
CD14+ cells,immune system
CD19-28z CAR T cells,immune system
CD3+ CD8+ CD45RA+/- CCR7+/- sorted from PBMC,immune system
CD34 positive AML primary cells,immune system
CD34+ cells,immune system
CD34+CD38+ AML blasts,immune system
CD4+ T cell,immune system
CD4+ T cells,immune system
CD4-CD8- T cell,immune system
CD45+ cells,immune system
CD45+ spleen,spleen
CD45+ tumor infiltrating lymphocytes,immune system
CD45- CD31+,vasculature
CD45- CD31- (sorted cells),other
CD8 T cells,immune system
"CD8 T cells, central memory CD8 T cells",immune system
CD8+ T cells,immune system
CNS,central nervous system
CNS (Central Nervous System),central nervous system
CNU - PAL,brain
CNU - PAL (specific brain region),brain
CSF,central nervous system
CSF (Cerebrospinal Fluid),central nervous system
CSF cells,central nervous system
CT26 xenografts,colon
CT26-induced tumour,colon
CTXsp - CLA-EP-LA-BLA-BMA-PA,cortex
CTXsp - CLA-EP-LA-BLA-BMA-PA (Cortex specific regions),cortex
Carnegie stage 13 dorsal aorta,vasculature
Central Nervous System,central nervous system
Cerebellum - Hemispheres (CB - HEM),brain
Circle of Willis,vasculature
Cortex & Hippocampus,brain
Cortex & Hippocampus (3mm piece around the injury),brain
Cortex & Hippocampus around the contusion,brain
Cortex & Hippocampus around the injury,brain
Cryopreserved PBMCs,blood
D4 aggregate,other
DAOY cell line,brain
DAOY tumour-spheroid,brain
DAOY-cerebellar organoid coculture,brain
DDLPS_DD,adipose tissue
DDLPS_WD,adipose tissue
DLPFC,cortex
DLPFC (Dorsolateral Prefrontal Cortex),cortex
E14 retina,eye
E14.5 dorsal telencephalon,brain
E15 pregnant uterus,uterus
E15.5 total backskin,skin of body
E16.5 fetal proximal small intestine,small intestine
E16.5 total backskin,skin of body
E7-TCR T cells,immune system
EG.7-OVA tumor,immune system
ENT,respiratory system
"ENT (Ear, Nose, Throat)",respiratory system
ESC E14 (Embryonic Stem Cells),embryo
ESCC cell line,esophagus
ESI017 WT ESO hPSC,embryo
ETX embryoid (Day 6),embryo
EpiSC (Epithelial Stem Cells),other
FDL tendon,skeletal system
FDL tendons,skeletal system
FNA,other
FNAs,other
FNAs (Fine-Needle Aspirates),other
Fadu cell line (hypopharyngeal squamous carcinoma),respiratory system
"Foetal liver, Foetal bone marrow",other
G3 MB fresh tissue (from primary tumor #15),brain
GBM biopsy,brain
