organism	tissue	count
Callithrix jacchus	Brodmann (1909) area 19	0
Callithrix jacchus	Brodmann (1909) area 23	21148
Callithrix jacchus	Brodmann (1909) area 25	31538
Callithrix jacchus	amygdala	0
Callithrix jacchus	anterior cingulate cortex	0
Callithrix jacchus	cerebellar vermis	0
Callithrix jacchus	cerebrocerebellum	0
Callithrix jacchus	corpus callosum	0
Callithrix jacchus	dorsolateral prefrontal cortex	208814
Callithrix jacchus	entorhinal cortex	0
Callithrix jacchus	head of caudate nucleus	0
Callithrix jacchus	hippocampal formation	0
Callithrix jacchus	inferior parietal cortex	0
Callithrix jacchus	inferior temporal gyrus	0
Callithrix jacchus	islet of Langerhans	0
Callithrix jacchus	lateral geniculate body	0
Callithrix jacchus	medial dorsal nucleus of thalamus	0
Callithrix jacchus	medulla oblongata	0
Callithrix jacchus	midbrain	0
Callithrix jacchus	middle temporal gyrus	0
Callithrix jacchus	nucleus accumbens	0
Callithrix jacchus	parietal cortex	25291
Callithrix jacchus	perirhinal cortex	0
Callithrix jacchus	pons	0
Callithrix jacchus	prefrontal cortex	121494
Callithrix jacchus	primary auditory cortex	41007
Callithrix jacchus	primary motor cortex	46837
Callithrix jacchus	primary somatosensory cortex	32265
Callithrix jacchus	primary visual cortex	27419
Callithrix jacchus	secondary visual cortex	25182
Callithrix jacchus	superior parietal cortex	0
Callithrix jacchus	superior temporal sulcus	0
Callithrix jacchus	temporal cortex	10727
Callithrix jacchus	temporal lobe	37849
Callithrix jacchus	ventral lateral nucleus of thalamus	0
Gorilla gorilla	Brodmann (1909) area 19	0
Gorilla gorilla	Brodmann (1909) area 23	0
Gorilla gorilla	Brodmann (1909) area 25	0
Gorilla gorilla	amygdala	0
Gorilla gorilla	anterior cingulate cortex	0
Gorilla gorilla	cerebellar vermis	0
Gorilla gorilla	cerebrocerebellum	0
Gorilla gorilla	corpus callosum	0
Gorilla gorilla	dorsolateral prefrontal cortex	0
Gorilla gorilla	entorhinal cortex	0
Gorilla gorilla	head of caudate nucleus	0
Gorilla gorilla	hippocampal formation	0
Gorilla gorilla	inferior parietal cortex	0
Gorilla gorilla	inferior temporal gyrus	0
Gorilla gorilla	islet of Langerhans	0
Gorilla gorilla	lateral geniculate body	0
Gorilla gorilla	medial dorsal nucleus of thalamus	0
Gorilla gorilla	medulla oblongata	0
Gorilla gorilla	midbrain	0
Gorilla gorilla	middle temporal gyrus	139945
Gorilla gorilla	nucleus accumbens	0
Gorilla gorilla	parietal cortex	0
Gorilla gorilla	perirhinal cortex	0
Gorilla gorilla	pons	0
Gorilla gorilla	prefrontal cortex	0
Gorilla gorilla	primary auditory cortex	0
Gorilla gorilla	primary motor cortex	0
Gorilla gorilla	primary somatosensory cortex	0
Gorilla gorilla	primary visual cortex	0
Gorilla gorilla	secondary visual cortex	0
Gorilla gorilla	superior parietal cortex	0
Gorilla gorilla	superior temporal sulcus	0
Gorilla gorilla	temporal cortex	0
